Person,Number of Files Requested,Page Number
"Abbott, James Federal Labor Relations Authority, Member",4,1
"Abbott, James Federal Labor Relations Authority, Member 2",2,1
"Abbott, Jarvis B. Department Of The Interior, Certificate of Divestiture",1,1
"Aber, Jessica D Department Of Justice, U.S. Attorney Virginia Eastern District",9,1
"Abizaid, John P Department Of State, Ambassador to Saudi Arabia (Kingdom of)",7,1
"Abraham, Yohannes A Department Of State, U.S. Representative to Association of Southeast Asian Nations w/rank of Ambassador",5,1
"Acker, Gerald International Joint Commission, Commissioner",23,1
"Adams Allen, Paloma Agency For International Development (Aid), Deputy Administrator for Management",7,1
"Adler, Douglas O. Export-Import Bank Of The United States, Certificate of Divestiture",1,1
"Adler, Michael Department Of State, Ambassador to Belgium",1,1
"Adler, Michael J Department Of State, Ambassador to South Sudan (Republic of)",4,1
"Adler, Michael M Department Of State, Ambassador to Belgium",5,1
"Adler, Robert S Consumer Product Safety Commission, Commissioner",1,1
"Adler, Robert S Consumer Product Safety Commission, Commissioner 2",2,1
"Aggeler, Angela P Department Of State, Ambassador to North Macedonia (Republic of)",6,1
"Althen, William I Federal Mine Safety And Health Review Commission, Commissioner 2",18,1
"Anderson, Craig J Department Of Justice, U.S. Marshal Montana",1,1
"Anderson, David L Department Of Justice, U.S. Attorney California Northern District",2,1
"Anderson, Derrick Department Of Defense/Office Of The Secretary, Assistant Secretary for Special Operations/Low Intensity Conflict",1,1
"Anderson, James H Department Of Defense/Office Of The Secretary, Assistant Secretary for Strategy, Plans, & Capabilities",1,1
"Anderson, James H Department Of Defense/Office Of The Secretary, Deputy Under Secretary for Policy",3,1
"Anderson, Jeffrey Department Of State, U.S. Representative to Council of International Civil Aviation Organization w/rank of Ambassador",1,1
"Anderson, John C Department Of Justice, U.S. Attorney New Mexico",3,1
"Anderson, Ken Nuclear Regulatory Commission, Certificate of Divestiture",1,1
"Anderson, Matthew National Aeronautics And Space Administration, Deputy Administrator",1,1
"Anderson, Richard Department Of The Air Force, Assistant Secretary for Manpower & Reserve Affairs",1,1
"Anderson, Robert T Department Of The Interior, Solicitor",5,1
"Andres, Gary Department Of Health And Human Services, Assistant Secretary for Legislation",2,1
"Anello, Russell M White House Office, Deputy Counsel to the President",3,1
"Apol, David Office Of Government Ethics, DAEO",40,1
"Apol, David Office Of The Us Trade Representative, DAEO",3,1
"Aponte, Mari C Department Of State, Ambassador to Panama (Republic of)",12,2
"Appleton, Seth Department Of Housing And Urban Development, Assistant Secretary for Policy Development & Research",3,2
"Ashooh, Richard E Department Of Commerce, Assistant Secretary for Export Administration",3,2
"Atkins, Melea Department Of Health And Human Services, Certificate of Divestiture",1,2
"Atkins, Paul Securities And Exchange Commission, Commissioner",6,2
"Attwood, Cynthia L Occupational Safety And Health Review Commission, Commissioner 3",15,2
"Babcock-Lumish, Terry Harry S. Truman Scholarship Foundation, DAEO",8,2
"Bagley, Elizabeth F Department Of State, Ambassador to Brazil (Federative Republic of)",4,2
"Baiocco, Dana Consumer Product Safety Commission, Commissioner",16,2
"Baker, Alexandra Department Of Defense/Office Of The Secretary, Deputy Under Secretary for Policy",6,2
"Baker, Joe Department Of Commerce, Certificate of Divestiture",1,2
"Baker, Michael Federal Trade Commission, Certificate of Divestiture",1,2
"Baker, Sarah Department Of Transportation, General Counsel",1,2
"Baker, Shalanda Department Of Energy, Director, Office of Minority Economic Impact",4,2
"Baker, Timothy J Federal Mine Safety And Health Review Commission, Commissioner",4,2
"Baranwal, Rita Department Of Energy, Assistant Secretary for Nuclear Energy",5,2
"Barrack, Tom Department Of State, Ambassador to Turkey (Republic of)",5,2
"Barrett, Thomas Department Of State, Ambassador to Luxembourg (Grand Duchy of)",9,2
"Barsa, John Agency For International Development (Aid), Assistant Administrator for Latin America & the Caribbean",3,2
"Bartos, Jeffrey Department Of State, U.S. Representative to United Nations for U.N. Management and Reform w/rank of Ambassador",7,2
"Bauer, Denise C Department Of State, Ambassador to France & Monaco",6,2
"Bauer, Meghan White House Office, Deputy Assistant to President & Director of Scheduling",1,2
"Beard, Michael Department Of Health And Human Services, Certificate of Divestiture",1,2
"Beard, Susan F Department Of Energy, DAEO",6,2
"Beehler, Alex A Department Of The Army, Assistant Secretary for Installations, Energy & Environment",4,2
"Behnam, Rostin Commodity Futures Trading Commission, Commissioner",7,2
"Behnam, Rostin Commodity Futures Trading Commission, Commissioner & Chairman",5,2
"Bell, Richard K Department Of State, Ambassador to Cote D`Ivoire (Republic of)",30,2
"Bell, Thomas Department Of Health And Human Services, Inspector General",1,2
"Benjamin, Stephen White House Office, Assistant to the President, Director Office of Public Engagement",5,3
"Berger, Meredith Department Of The Navy, Assistant Secretary for Energy, Installations & Environment",7,3
"Berger, Sherri Department Of Health And Human Services, Certificate of Divestiture",1,3
"Berger, William B Department Of Justice, U.S. Marshal Florida Middle District",70,3
"Berkovitz, Dan M Commodity Futures Trading Commission, Commissioner",14,3
